pclass,sex,age,fare,survived
1,female,29,211.3375,1
1,male,0.9167,151.5500,1
1,female,2,151.5500,0
1,male,30,151.5500,0
1,female,25,151.5500,0
1,male,48,26.5500,1
1,female,63,77.9583,1
1,male,39,0.0000,0
1,female,53,51.4792,1
1,male,71,49.5042,0
1,male,47,227.5250,0
1,female,18,227.5250,1
1,female,24,69.3000,1
1,female,26,78.8500,1
1,male,80,30.0000,1
1,male,,25.9250,0
1,male,24,247.5208,0
1,female,50,247.5208,1
1,female,32,76.2917,1
1,male,36,75.2417,0
1,male,37,52.5542,1
1,female,47,52.5542,1
1,male,26,30.0000,1
1,female,42,227.5250,1
1,female,29,221.7792,1
1,male,25,26.0000,0
1,male,25,91.0792,1
1,female,19,91.0792,1
1,female,35,135.6333,1
1,male,28,26.5500,1
1,male,45,35.5000,0
1,male,40,31.0000,1
1,female,30,164.8667,1
1,female,58,26.5500,1
1,male,42,26.5500,0
1,female,45,262.3750,1
1,female,22,55.0000,1
1,male,,26.5500,1
1,male,41,30.5000,0
1,male,48,50.4958,0
1,male,,39.6000,0
1,female,44,27.7208,1
1,female,59,51.4792,1
1,female,60,76.2917,1
1,female,41,134.5000,1
1,male,45,26.5500,0
1,male,,31.0000,0
1,male,42,26.2875,1
1,female,53,27.4458,1
1,male,36,512.3292,1
1,female,58,512.3292,1
1,male,33,5.0000,0
1,male,28,47.1000,0
1,male,17,47.1000,0
1,male,11,120.0000,1
1,female,14,120.0000,1
1,male,36,120.0000,1
1,female,36,120.0000,1
1,male,49,26.0000,0
1,female,,27.7208,1
1,male,36,78.8500,0
1,female,76,78.8500,1
1,male,46,61.1750,0
1,female,47,61.1750,1
1,male,27,53.1000,1
1,female,33,53.1000,1
1,female,36,262.3750,1
1,female,30,86.5000,1
1,male,45,29.7000,1
1,female,,55.0000,1
1,male,,0.0000,0
1,male,27,136.7792,0
1,female,26,136.7792,1
1,female,22,151.5500,1
1,male,,52.0000,0
1,male,47,25.5875,0
1,female,39,83.1583,1
1,male,37,83.1583,0
1,female,64,83.1583,1
1,female,55,25.7000,1
1,male,,26.5500,0
1,male,70,71.0000,0
1,female,36,71.0000,1
1,female,64,26.5500,1
1,male,39,71.2833,0
1,female,38,71.2833,1
1,male,51,26.5500,1
1,male,27,30.5000,1
1,female,33,151.5500,1
1,male,31,52.0000,0
